"Ticker","Maturity","Type","Long Strike","Long Bid","Short Strike","Short Ask","Difference","Profit","Cost"
"GIS","01/21/22","Call","55.0","5.6","60.0","2.44","500.0","316.00","0.5822784810126582278481012658"
"GIS","01/21/22","Call","60.0","3.35","62.5","1.35","250.0","200.00","0.25"
"GIS","01/21/22","Call","62.5","2.56","65.0","1.35","250.0","121.00","1.0661157024793388429752066116"
"GIS","01/21/22","Call","65.0","2.32","70.0","0.72","500.0","160.00","2.125"
"GIS","01/21/22","Call","70.0","1.47","75.0","0.11","500.0","136.00","2.6764705882352941176470588235"

"GIS","01/21/22","Put","45.0","0.11","40.0","0.0","500.0","11.00","44.454545454545454545454545455"
"GIS","01/21/22","Put","47.5","0.2","45.0","0.05","250.0","15.00","15.666666666666666666666666667"
"GIS","01/21/22","Put","50.0","0.51","47.5","0.17","250.0","34.00","6.3529411764705882352941176471"
"GIS","01/21/22","Put","52.5","1.32","50.0","0.48","250.0","84.00","1.9761904761904761904761904762"
"GIS","01/21/22","Put","55.0","2.9","52.5","1.22","250.0","168.00","0.4880952380952380952380952381"
"GIS","01/21/22","Put","60.0","7.95","55.0","2.74","500.0","521.00","-0.0403071017274472168905950096"
"GIS","01/21/22","Put","62.5","10.4","60.0","7.7","250.0","270.0","-0.0740740740740740740740740741"
"GIS","01/21/22","Put","65.0","12.9","62.5","10.15","250.0","275.00","-0.0909090909090909090909090909"
"GIS","01/21/22","Put","70.0","16.85","65.0","12.6","500.0","425.00","0.1764705882352941176470588235"
"GIS","01/21/22","Put","75.0","21.8","70.0","16.1","500.0","570.0","-0.1228070175438596491228070175"
